Verð fjölbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð fjölbýlis í þúsundum króna,Meðaltals staðgreiðsluverð fjölbýlis í þúsundum króna,Kaupverð fjölbýlis á fermeter (krónur),Staðgreiðsluverð fjölbýlis á fermeter (krónur)
1988.0,2.0,160.0,85.0,3941.0,3725.0,48190.0,45306.0
1988.0,1.0,120.0,76.0,3494.0,3326.0,47173.0,44800.0
1987.0,12.0,92.0,80.0,3467.0,3299.0,44112.0,41789.0
1987.0,11.0,170.0,84.0,3609.0,3459.0,44045.0,42021.0
1987.0,10.0,193.0,82.0,3270.0,3121.0,41225.0,39185.0
1987.0,9.0,212.0,82.0,3214.0,3115.0,40144.0,38787.0
1987.0,8.0,175.0,82.0,3071.0,2963.0,38149.0,36659.0
1987.0,7.0,248.0,84.0,3034.0,2923.0,37108.0,35606.0
1987.0,6.0,160.0,83.0,2947.0,2834.0,36325.0,34829.0
1987.0,5.0,166.0,84.0,2934.0,2803.0,35770.0,34113.0
1987.0,4.0,173.0,87.0,3003.0,2866.0,35442.0,33758.0
1987.0,3.0,253.0,87.0,2868.0,2748.0,33984.0,32516.0
1987.0,2.0,252.0,91.0,2942.0,2804.0,33316.0,31683.0
1987.0,1.0,138.0,85.0,2545.0,2407.0,30964.0,29264.0
1986.0,12.0,74.0,97.0,2826.0,2672.0,29813.0,28150.0
1986.0,11.0,111.0,86.0,2538.0,2391.0,30342.0,28453.0
1986.0,10.0,159.0,85.0,2476.0,2347.0,29716.0,28177.0
1986.0,9.0,227.0,85.0,2391.0,2214.0,29019.0,26825.0
1986.0,8.0,206.0,90.0,2404.0,2212.0,27533.0,25320.0
1986.0,7.0,255.0,85.0,2272.0,2087.0,27491.0,25252.0
1986.0,6.0,241.0,87.0,2227.0,2022.0,26695.0,24241.0
1986.0,5.0,241.0,86.0,2161.0,1970.0,25768.0,23459.0
1986.0,4.0,167.0,87.0,2193.0,2005.0,25822.0,23597.0
1986.0,3.0,176.0,87.0,2178.0,1995.0,25635.0,23463.0
1986.0,2.0,187.0,84.0,2052.0,1869.0,25274.0,23036.0
