Unnið 25/02/2015,Íbúðaverð í fjölbýli - ársmeðaltöl,,,,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.,,,
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²),,,
"Innan Hringbrautar og Snorrrabrautar, Reykjavík",,,,,,,,,
,,,,,,,,,
2006.0,34.0,114.0,21843.0,21463.0,197021.0,194026.0,,,
2007.0,47.0,109.0,23790.0,23127.0,223541.0,217495.0,,,
2008.0,12.0,107.0,24100.0,23209.0,234290.0,226648.0,,,
2009.0,15.0,110.0,25407.0,23492.0,244741.0,229039.0,,,
2010.0,10.0,114.0,24030.0,22391.0,211545.0,197535.0,,,
2011.0,26.0,108.0,22957.0,22339.0,215070.0,208306.0,,,
2012.0,17.0,111.0,24100.0,23515.0,228452.0,222621.0,,,
2013.0,34.0,125.0,27351.0,27101.0,227043.0,224825.0,,,
2014.0,27.0,126.0,28672.0,28135.0,244712.0,239887.0,,,
,,,,,,,,,
"Foldir, Reykjavík",,,,,,,,,
,,,,,,,,,
1990.0,7.0,119.0,8386.0,7251.0,71926.0,61954.0,,,
1991.0,11.0,83.0,7499.0,6083.0,91931.0,74579.0,,,
1992.0,15.0,91.0,7758.0,6687.0,88103.0,75942.0,,,
1993.0,37.0,98.0,8259.0,7230.0,86672.0,75565.0,,,
1994.0,58.0,109.0,8314.0,7858.0,80260.0,75492.0,,,
1995.0,58.0,103.0,7914.0,7206.0,81097.0,73738.0,,,
1996.0,62.0,103.0,7944.0,7255.0,82159.0,74882.0,,,
1997.0,46.0,106.0,8295.0,7631.0,82247.0,75295.0,,,
1998.0,72.0,97.0,7890.0,7525.0,86288.0,82119.0,,,
1999.0,73.0,105.0,9131.0,8995.0,91565.0,90104.0,,,
2000.0,63.0,101.0,10939.0,10207.0,113815.0,106096.0,,,
2001.0,56.0,95.0,11129.0,10211.0,121326.0,111138.0,,,
2002.0,58.0,101.0,12088.0,11171.0,122370.0,112932.0,,,
2003.0,64.0,102.0,12715.0,12475.0,129633.0,127149.0,,,
2004.0,79.0,100.0,14417.0,14318.0,148180.0,147198.0,,,
2005.0,54.0,103.0,18669.0,18470.0,189814.0,188132.0,,,
2006.0,49.0,103.0,21210.0,20799.0,210426.0,206515.0,,,
2007.0,58.0,100.0,23464.0,22963.0,241500.0,236517.0,,,
2008.0,19.0,115.0,28753.0,27265.0,250818.0,237606.0,,,
2009.0,14.0,132.0,28450.0,27053.0,230966.0,216627.0,,,
2010.0,19.0,110.0,21961.0,21151.0,206094.0,199779.0,,,
2011.0,35.0,109.0,23590.0,22932.0,220672.0,214342.0,,,
2012.0,31.0,96.0,22125.0,21583.0,235093.0,229609.0,,,
2013.0,28.0,106.0,25575.0,24991.0,249030.0,243853.0,,,
2014.0,46.0,104.0,27025.0,26607.0,272601.0,268734.0,,,
,,,,,,,,,
"Borgir, Reykjavík",,,,,,,,,
,,,,,,,,,
1996.0,3.0,117.0,8533.0,7965.0,73383.0,68517.0,,,
1997.0,17.0,111.0,8502.0,7926.0,77299.0,72101.0,,,
1998.0,17.0,98.0,8056.0,7824.0,82436.0,80101.0,,,
1999.0,27.0,107.0,9310.0,9226.0,89105.0,88339.0,,,
