Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
1993.0,10.0,53.0,176.0,11337.0,10200.0,67307.0,60463.0
1993.0,9.0,36.0,170.0,10852.0,9751.0,66333.0,59235.0
1993.0,8.0,24.0,184.0,10699.0,9655.0,60113.0,54120.0
1993.0,7.0,23.0,177.0,11905.0,10789.0,66652.0,60364.0
1993.0,6.0,25.0,203.0,11465.0,10478.0,65797.0,59672.0
1993.0,5.0,27.0,177.0,11437.0,10381.0,68875.0,62382.0
1993.0,4.0,21.0,194.0,12986.0,11790.0,70431.0,63525.0
1993.0,3.0,31.0,177.0,11577.0,10616.0,68695.0,62606.0
1993.0,2.0,17.0,182.0,12174.0,10796.0,70951.0,62573.0
1993.0,1.0,16.0,222.0,14372.0,13095.0,65987.0,59904.0
1992.0,12.0,19.0,164.0,10904.0,9682.0,65346.0,57808.0
1992.0,11.0,25.0,170.0,11504.0,10223.0,68605.0,60899.0
1992.0,10.0,34.0,164.0,11501.0,10291.0,71657.0,63911.0
1992.0,9.0,25.0,174.0,11391.0,10584.0,66718.0,62077.0
1992.0,8.0,25.0,160.0,10358.0,9537.0,65248.0,59995.0
1992.0,7.0,44.0,194.0,13037.0,12017.0,69426.0,63859.0
1992.0,6.0,35.0,203.0,12762.0,11881.0,65640.0,60670.0
1992.0,5.0,22.0,186.0,12310.0,11485.0,72832.0,67826.0
1992.0,4.0,35.0,190.0,11827.0,10648.0,64490.0,57638.0
1992.0,3.0,30.0,180.0,12306.0,11078.0,69258.0,62003.0
1992.0,2.0,12.0,182.0,12521.0,11111.0,69042.0,61185.0
1992.0,1.0,13.0,151.0,9587.0,8349.0,66611.0,57094.0
1991.0,12.0,20.0,189.0,11481.0,10102.0,66069.0,57630.0
1991.0,11.0,32.0,200.0,12212.0,10607.0,64552.0,55468.0
1991.0,10.0,34.0,177.0,11667.0,10246.0,67543.0,59050.0
1991.0,9.0,27.0,172.0,10981.0,9467.0,65893.0,56707.0
1991.0,8.0,18.0,162.0,11284.0,9781.0,71862.0,61953.0
1991.0,7.0,33.0,180.0,12070.0,10827.0,68268.0,61217.0
1991.0,6.0,21.0,214.0,13078.0,11857.0,62973.0,56786.0
1991.0,5.0,38.0,177.0,11336.0,9961.0,65641.0,57802.0
1991.0,4.0,35.0,189.0,12083.0,10715.0,66404.0,58427.0
1991.0,3.0,39.0,175.0,11293.0,10011.0,65228.0,57709.0
1991.0,2.0,17.0,205.0,12258.0,11179.0,60701.0,55477.0
1991.0,1.0,27.0,172.0,11007.0,9923.0,64695.0,58311.0
1990.0,12.0,32.0,208.0,11998.0,10846.0,58731.0,52932.0
1990.0,11.0,29.0,189.0,11376.0,10178.0,63648.0,56871.0
1990.0,10.0,48.0,167.0,10428.0,9307.0,64109.0,56954.0
1990.0,9.0,38.0,181.0,11089.0,10044.0,63176.0,57071.0
1990.0,8.0,28.0,189.0,11363.0,10216.0,60797.0,54654.0
1990.0,7.0,27.0,203.0,11471.0,10490.0,57009.0,51908.0
1990.0,6.0,21.0,179.0,10569.0,9760.0,60566.0,55862.0
1990.0,5.0,29.0,183.0,10436.0,9578.0,58952.0,54075.0
1990.0,4.0,18.0,198.0,11136.0,10244.0,57314.0,52680.0
1990.0,3.0,22.0,183.0,11110.0,10110.0,61480.0,55585.0
1990.0,2.0,38.0,191.0,10792.0,9708.0,57335.0,51333.0
